"('job_Name',)","('job_Wage',)","('job_AverWage',)","('company_Name',)","('company_Nature',)","('company_Scale',)","('company_Address',)","('company_Distance',)","('company_Duration',)","('company_Traffic',)","('job_PeopleNum',)","('job_Issue',)","('job_Article',)","('job_Link',)","('job_Id',)","('company_Id',)"
策划专员,0.5-1万/月,7500,恒大地产集团成都有限公司,上市公司,1000-5000人,提督街99号恒大中心,2271,1181,公共交通,2人 | 本科 | 5-7年工作经验,2017-04-14,"
招聘条件：27-35岁，中文、新闻、营销等相关专业本科及以上学历，第一学历本科毕业5年以上，5年以上相关岗位工作经验，曾全程参与过著名房地产企业营销策划工作。工作经验7年以上薪资待遇：10000元/月起 ",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=42879176,42879176,2115296
高级市场专员（活动策划执行）,,',瑞庭网络技术（上海）有限公司成都分公司-安居客,外资（非欧美）,1000-5000人,成都市锦江区新光华街7号航天科技大厦1701-03室,3804,1569,公共交通,1人 | 大专 | 工作经验不限,2017-04-14,"
						1、根据销售需求策划并执行产品推广及营销活动，负责活动方案的策划创意、执行和管理；
2、协调整合各方资源（如与供应商沟通、与场地方谈判，准备及分发物料），策划、执行活动方案，对活动全流程进行执行和监控；
3、熟悉整体活动流程及特点，可将活动策划方案转化为具体的执行方案，细化工作流程，严格按照时间节点和质量要求完成工作；在活动中收集用户反馈，不断优化活动策划方案；
4、能够胜任从活动策划、活动执行统筹、活动运营、后期收尾的整体活动流程；
5、上级安排的其他工作。
任职要求：
1、全日制大专及以上学历，市场营销等相关专业；
2、2年以上市场策划、活动或产品推广等相关工作经验；
3、",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=79624697,79624697,2258209
企划/策划经理,6-8千/月,7000,四川恒艾科技有限公司,民营公司,150-500人,成华区猛追湾339C座1012,1629,1348,公共交通,1人 | 学历不限 | 5-7年工作经验,2017-04-14,"
						岗位职责：
1.深刻理解公司的企业文化及商业模式，完整的设计出企业文化及展示体系，树立公司品牌形象，提高公司的知名度和美誉度；
2.负责公司整体企划、推广及宣传工作，对企划部进行日常管理；
3.负责公司企划工作的全面掌控，包括组织、参与、指导企划方案的制定；
4.完成公司项目的整体策划创意、设计与提报，并指导专案策划文案、设计，配合完成日常推广宣传、广告投放效果等工作； 
5.完成公司大型活动的策划组织；
6.负责公司品牌推广，建立和发展公司的企业文化、产品文化、市场文化和管理文化。 

任职资格：
1.30-35岁，本科以上学历，具备整合推广或企划经验，5年以上相关工作资历、",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87895403,87895403,4194622
品牌督导,0.8-1万/月,9000,四川欣彤商贸有限公司,民营公司,150-500人,人民南路一段97号现代之窗9楼39号,3629,1430,公共交通,2人 | 大专 | 3-4年工作经验,2017-04-14,"
						岗位要求：
一、 店铺运营、日常事务管理
1、 监督公司总部各项政策在直营店的执行情况。
2、 负责专卖店员工福利和薪资程序的行政工作，包括向公司汇总报告。
3、 负责对导购人员的销售技巧培训和服装陈列培训。
4、 协助店铺的综合培训。
5、完善运营体制和考核制度，以加强人员的服务意识，提高工作热忱。
6、加强品牌形象店及各个终端店铺新产品上市的宣传及执行力度。
二、店铺销售管理
1、监督、指导直营店的销售。
2、监督、策划并实施市场性的行销活动以及品牌的促销活动，完善与商场的工作对接。
3、根据公司货品状况，市场状况及市场竞争力，提供科学有效的促销方案。
4、根据每月销售任务",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=77219664,77219664,3003107
策划师,6-8千/月,7000,成都日新伟业置业有限公司,民营公司,150-500人,成都市锦江区下东大街216号喜年广场44F,1392,1046,公共交通,若干人 | 学历不限 | 工作经验不限,2017-04-14,"
						岗位职责：
1.负责协助项目主策开展项目策划工作；
2.负责项目周报、月报的拟写和汇报；
3.负责区域市场、竞品的跟踪调查；
4.负责项目交办的其它策划工作。

任职资格：
1、1年以上房地产工作经验， 具备良好的地产项目营销策划及文字表达能力；
2、协助参与过大型房地产项目定位、营销、策划；
3、具有很强组织、协调、管理能力，有操作项目的工作经验；
4、沟通能力、逻辑思维能力、抗压力强。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83288907,83288907,3452542
品牌策划专员（石油天然气公司）,6-8千/月,7000,中国国际能源控股有限公司四川分公司,民营公司,10000人以上,成都市青羊区上西顺城街三多里82号,2977,1465,公共交通,2人 | 大专 | 工作经验不限 | 普通话 ,2017-04-13,"
						岗位职责：
1、负责企业品牌包装与形象策划，进行差异性品牌传播；
2、负责有关产品、市场需求、渠道方面的调研；
3、负责公司活动方案的设计、策划、实施与业务管理；
4、负责编制公司年度活动预算，提交年度方案，制定与协调各区域促销活动推进时间与方案选择；
5、根据公司年度目标和营销计划，策划撰写年度品牌建设计划方案；
6、策划撰写阶段性品牌推广方案，及各类项目活动的实施方案；
7、各宗实施各类项目方案、组织活动的实施过程；
8、完成上级领导安排的其它工作。
任职要求：
1.大学本科以上学历，35周岁以下，广告、新闻、中文、管理等相关专业；
2.具有五年以上大",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85499373,85499373,2926554
新媒体运营专员/市场推广专员,,',“前程无忧”51job.com（成都）,外资（非欧美）,150-500人,成都市忠烈祠西街91号绿洲大酒店17楼,3277,1705,公共交通,1人 | 本科 | 无工作经验,2017-04-14,"
						岗位职责：
-针对公司不同产品线特点，制定市场推广计划
-针对B端市场，设计包装产品推介活动，并落地执行
-针对C端市场，利用各类媒体特别是新媒体资源，结合online和offline特点，进行不同产品线的推广策划活动，并落地执行
-协助设计、制定销售工具；协助设计、制定公司市场宣传资料
-收集竞争对手的情报，关注竞争对手的推广手段
-优质媒体资源的开发与合作
-控制预算

岗位要求：
-本科以上学历，市场营销、广告学、美术设计等相关专业
-欢迎优秀的应届毕业生
-熟悉新媒体传播规律，文笔好，有美术设计功底者优先
-具有较强的语言组织能力，团队协作能力",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87807373,87807373,113581
计划运营经理,,',成都华宇业瑞房地产开发有限公司,民营公司,500-1000人,成都市武侯区人民南路四段北12号华宇蓉国府写字楼21楼,7244,2050,公共交通,若干人 | 学历不限 | 工作经验不限,2017-04-14,"
						1、参与房地产行业、政策宏观面的研究和分析；
2、配合实施集团企业总体战略规划；负责制定城市公司经营战略规划；
3、负责城市公司各项规章、制度、规范的制定、发布与监控，并上报集团；
4、组织城市公司的年度经营计划的制定及评审；
5、指导、监督城市公司各项计划的制定和实施；
6、组织召开城市公司各职能部门的协调会议，解决项目运营中的偏差、矛盾和冲突；
7、组织城市公司的运营信息管理，并及时上报城市公司的运营状况；
8、负责城市公司知识管理平台建设及规划；
9、督导城市公司IT平台的建设及规划；
10、负责组织城市公司季度、年度经营分析会，并上报集团；
11、协调集团对工程核算进行",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=88044461,88044461,2060326
策划主管,0.6-1万/月,8000,四川省爱恋珠宝有限公司,民营公司,1000-5000人,成都市东大街芷泉段6号时代壹号5A,1303,191,的士,1人 | 本科 | 3-4年工作经验,2017-04-14,"
						岗位职责： 
1、组织、编制大型市场规划、设计方案； 
2、编写方案设计报告、实施方案报告； 
3、独立完成广告策划案、品牌推广； 
4、指导制作各种宣传材料、产品说明书、销售支持材料等。 

岗位要求： 
1、具有严谨的逻辑思维，思维活跃，有较强的策划创意能力，领悟能力强； 
2、具有精准的文字创意表现，文案撰写能力强； 
3、能独立完成公司各项目策划方案和宣传方案； 
4、市场营销等相关专业毕业，有广告、房地产、大型卖场三年以上相关工作经验优先； 
5、具有企业品牌管理、大型晚会、T台秀公关活动的策划与执行经验。						",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=84628821,84628821,2824189
平台运营经理（O2O）,0.8-1万/月,9000,成都翼联科技有限公司,民营公司,150-500人,成华区万科华茂广场22楼,6292,2407,公共交通,若干人 | 本科 | 3-4年工作经验,2017-04-14,"
						岗位职责：
1、负责平台总体运营，包括但不限于：制定平台的发展和实施计划，制定并管理平台运营的所有流程，进度。
2、对平台运营指标负责；通过运营策略带动核心指标的提升（拉新、留存、活跃、流水）；
3、负责策划并组织实施线上线下活动，提升产品的用户体验；
4、擅长运营数据分析，对各项关键数据进行深度分析和总结，且定期汇报。
5、通过数据表现及用户跟进，不定期提出平台优化方案
6、负责运营团队管理。


任职要求：
1、本科以上学历，五年以上互联网运营经验； 其中三年以上移动产品运营经验，大型互联网O2O行业、电商经验优先。
2、熟悉移动互联网行业，了解移动互联网的商业模式和用户行",http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86886323,86886323,2834917
